,@ASSETID,@ASSETNAME,@LEASENAME,@STATUS,@ALARMCOLOR,@COLUMNCOUNT,@MODULENAME,@MODULEURL,@SAMPLETIME
39,2803,MP-2079,BECKER RANCH 5M-243,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2803&amp;ANm=MP-2079&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2803&amp;ANm=MP-2079&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
40,10709,MP-209,GUTTERSEN PAD 4 31Y-441,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10709&amp;ANm=MP-209&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=65|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10709&amp;ANm=MP-209&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=65,12/29/1899 06:00 PM
41,10713,MP-2093,SPAUR 10T-301,ACTIVE,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10713&amp;ANm=MP-2093&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=69|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10713&amp;ANm=MP-2093&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=69,12/29/1899 06:00 PM
42,10715,MP-2099,DILLARD 20M-203,Active,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10715&amp;ANm=MP-2099&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10715&amp;ANm=MP-2099&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
43,2905,MP-2118,"NOFFSINGER 31, 32-2D, 2C, RD, SD, VD;",ACTIVE,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2905&amp;ANm=MP-2118&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=58|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2905&amp;ANm=MP-2118&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=58,12/29/1899 06:00 PM
44,2971,MP-2128,PETERSON 14Y-304,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2971&amp;ANm=MP-2128&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=58|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2971&amp;ANm=MP-2128&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=58,12/29/1899 06:00 PM
45,10761,MP-2172,GUTTERSEN 6U-203,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10761&amp;ANm=MP-2172&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10761&amp;ANm=MP-2172&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
46,10769,MP-2184,NOCO ENERGIE,Active,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10769&amp;ANm=MP-2184&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10769&amp;ANm=MP-2184&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
47,10771,MP-2187,"KING 31,32 AND 42-49",Standby,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10771&amp;ANm=MP-2187&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10771&amp;ANm=MP-2187&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
48,10777,MP-2194,TOLMACHOF 41-31 AND HALL 42-33,ACTIVE,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10777&amp;ANm=MP-2194&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=65|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10777&amp;ANm=MP-2194&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=65,12/29/1899 06:00 PM
